@relation 'training_set-weka.filters.unsupervised.attribute.Remove-R2,4'

@attribute class {DRG039,DRG057,DRG069,DRG064,DRG065,DRG066,DRG074,DRG101,DRG149,DRG176,DRG177,DRG189,DRG178,DRG190,DRG191,DRG193,DRG194,DRG192,DRG195,DRG202,DRG203,DRG207,DRG238,DRG252,DRG253,DRG208,DRG254,DRG291,DRG243,DRG244,DRG246,DRG247,DRG249,DRG251,DRG280,DRG292,DRG281,DRG282,DRG286,DRG287,DRG293,DRG300,DRG301,DRG303,DRG305,DRG308,DRG312,DRG309,DRG310,DRG313,DRG314,DRG315,DRG330,DRG377,DRG329,DRG372,DRG378,DRG379,DRG389,DRG390,DRG391,DRG394,DRG439,DRG392,DRG460,DRG473,DRG418,DRG419,DRG469,DRG470,DRG480,DRG481,DRG536,DRG482,DRG552,DRG491,DRG563,DRG602,DRG603,DRG638,DRG640,DRG682,DRG641,DRG683,DRG684,DRG689,DRG690,DRG811,DRG698,DRG699,DRG812,DRG853,DRG885,DRG870,DRG871,DRG872,DRG897,DRG948,DRG917,DRG918}
@attribute providerRegionDescription {RIDALDothan,RIDALBirmingham,RIDALMontgomery,RIDALHuntsville,RIDAZPhoenix,RIDAZMesa,RIDARJonesboro,RIDALTuscaloosa,RIDALMobile,RIDFLClearwater,RIDMABoston,RIDNHManchester,RIDNYAlbany,RIDTXHouston,RIDWIMilwaukee,RIDFLMiami,RIDNDBismarck,RIDTXDallas,RIDFLOrlando,RIDFLPensacola,RIDGAAtlanta,RIDMOSt.Louis,RIDILJoliet,RIDMEBangor,RIDCASantaCruz,RIDCTHartford,RIDFLOcala,RIDCTNewHaven,RIDSCCharleston,RIDNJCamden,RIDNYBronx,RIDPAErie,RIDKSWichita,RIDPAPittsburgh,RIDMEPortland,RIDGAAugusta,RIDGAMacon,RIDILEvanston,RIDILElgin,RIDMDSalisbury,RIDMIAnnArbor,RIDMILansing,RIDKYPaducah,RIDNJMorristown,RIDCANapa,RIDCASacramento,RIDCODenver,RIDCOGreeley,RIDCTBridgeport,RIDFLFortMyers,RIDCAChico,RIDTNMemphis,RIDOHCanton,RIDARSpringdale,RIDCAFresno,RIDCAStockton,RIDCALosAngeles,RIDMNDuluth,RIDCAOrangeCounty,RIDCASanDiego,RIDCASanBernardino,RIDNCRaleigh,RIDWIAppleton,RIDILBloomington,RIDPAAllentown,RIDCARedding,RIDAZTucson,RIDIAIowaCity,RIDMIDearborn,RIDILSpringfield,RIDARLittleRock,RIDCOBoulder,RIDCOFortCollins,RIDPAJohnstown,RIDWIMadison,RIDNEOmaha,RIDOHCleveland,RIDTXElPaso,RIDCASalinas,RIDCABakersfield,RIDDCWashington,RIDFLJacksonville,RIDHIHonolulu,RIDILChicago,RIDINGary,RIDLAShreveport,RIDLAMonroe,RIDCAModesto}
@attribute averageCoveredPayments numeric
@attribute averageTotalPayments numeric
@attribute averageMedicarePayments numeric

@data
DRG192,RIDALBirmingham,32671.48,3880,3045.03
DRG192,RIDALHuntsville,10807.46,3873.36,2543.8
DRG192,RIDALBirmingham,14231.54,4386.26,2842.23
DRG192,RIDALBirmingham,15612.67,3722.35,2882.29
DRG192,RIDALMobile,5714.16,4253.16,3320.5
DRG194,RIDFLOcala,25886.77,5419.63,4542.18
DRG194,RIDFLMiami,39932.79,8326,7615.6
DRG194,RIDFLMiami,74303.31,8241.82,7097.31
DRG194,RIDFLMiami,65354.05,8504.9,7773.37
DRG194,RIDFLMiami,43273.92,10551.15,4387.38
DRG194,RIDALDothan,21096.94,5832.73,4615.95
DRG194,RIDALBirmingham,14732,6131.98,4615.48
DRG195,RIDALDothan,12034.15,4021,2953.6
DRG195,RIDALBirmingham,10862.82,4019.65,3233.56
DRG195,RIDALBirmingham,17759.5,3966.14,2636.38
DRG195,RIDALDothan,10825.58,3643.36,2850.48
DRG195,RIDALMontgomery,14767.58,5149.23,4157.94
DRG195,RIDALBirmingham,28750.5,3814,2929.14
DRG195,RIDALHuntsville,7877.75,3688.43,2606.75
DRG195,RIDALBirmingham,17000.5,3970.45,2893.68
DRG195,RIDALBirmingham,18861.65,3947.28,2605.69
DRG195,RIDALBirmingham,21053.57,4146.67,2790.17
DRG202,RIDALDothan,21906.24,4825.41,3728.24
DRG202,RIDALBirmingham,16750,4498.5,3437.25
DRG202,RIDALDothan,6933.09,4234.54,3369.45
DRG202,RIDALHuntsville,13982.52,4400.04,3494.33
DRG202,RIDALBirmingham,24296.58,4709.41,3425.05
DRG202,RIDALBirmingham,20419.4,4678.6,3628.46
DRG202,RIDALBirmingham,10064.78,4688.28,3886.57
DRG202,RIDALMontgomery,15642.33,5654.53,4830.8
DRG202,RIDALMontgomery,16444.53,5367.38,3550.23
DRG202,RIDALDothan,5985.41,5288,4447
DRG203,RIDALBirmingham,18616.07,4022.76,2126.46
DRG203,RIDALDothan,7841.04,3155.19,2251
DRG203,RIDALBirmingham,12844.78,3569.89,2198.84
DRG203,RIDALBirmingham,8344.6,3383,2479.53
DRG203,RIDALMontgomery,15203.56,4080.25,3376.75
DRG203,RIDALMontgomery,13669.35,3443.58,2324.76
DRG203,RIDALBirmingham,5716.75,3608,2764.33
DRG203,RIDALDothan,4939.5,3817,2693
DRG203,RIDALBirmingham,6930.17,3641.88,2209.88
DRG203,RIDALBirmingham,12438.42,4466,3823.71
DRG207,RIDALDothan,107347.52,28246.68,27831.31
DRG207,RIDALBirmingham,117772.91,27573.41,26638.08
DRG207,RIDALBirmingham,121698.53,35806.53,29393.46
DRG207,RIDALMontgomery,117604.23,34607.95,32496.47
DRG207,RIDALMontgomery,89957,27953.78,27180.94
DRG207,RIDALBirmingham,65345.33,29752.66,28403.66
DRG207,RIDALBirmingham,188031.14,42550.21,40777.57
DRG207,RIDALHuntsville,145193.93,32294.03,30855.15
DRG207,RIDALBirmingham,236092.75,27311.4,25758.85
DRG207,RIDALBirmingham,252726.25,32591.33,27020.25
DRG238,RIDCTNewHaven,70117.68,25146.03,22800.37
DRG238,RIDSCCharleston,69252.12,17512.53,16596.75
DRG252,RIDNJCamden,135003.38,18752.05,17702.22
DRG252,RIDNYBronx,43369.45,41437.72,40880.45
DRG252,RIDPAErie,116365.08,29096.18,13655.27
DRG253,RIDKSWichita,33610.81,12415,11497.54
DRG208,RIDALDothan,53051.04,12710.83,11963.56
DRG208,RIDALBirmingham,45063.52,13457.16,12279.64
DRG208,RIDALBirmingham,56430.72,12196.09,11530.09
DRG208,RIDALBirmingham,48317.17,12393.96,11087.53
DRG208,RIDALBirmingham,53917.81,11749.81,11048.31
DRG208,RIDALBirmingham,70794.91,12565.25,11863.08
DRG208,RIDALBirmingham,21525.08,12465.78,11837.08
DRG208,RIDALDothan,22439.47,12733.52,12260.26
DRG208,RIDALMontgomery,48669.44,15196.87,14550.09
DRG208,RIDALMontgomery,43644.39,12814.57,12293.57
DRG253,RIDPAPittsburgh,62622.95,14075.66,13381
DRG254,RIDMEPortland,24496.86,12779.26,9104
DRG254,RIDSCCharleston,36492.5,9628.11,7689.22
DRG291,RIDGAAugusta,31462.46,9090.06,8390.92
DRG291,RIDGAAtlanta,24585.56,9543.67,8951.86
DRG291,RIDGAMacon,16207.48,9052.08,8504.12
DRG291,RIDILJoliet,43910.33,9063.49,8383.55
DRG291,RIDILEvanston,44448.51,12957.85,11001.01
DRG291,RIDILElgin,41925.68,8538.31,7883.59
DRG291,RIDKSWichita,22708.37,7696.81,7203.56
DRG238,RIDALDothan,54708.17,17711.45,16083.06
DRG238,RIDALBirmingham,82020.29,16730.04,15361.34
DRG238,RIDALBirmingham,46120.96,16340.75,15417.39
