@relation 'training_set-weka.filters.unsupervised.attribute.Remove-R2,4-6'

@attribute class {DRG039,DRG057,DRG069,DRG064,DRG065,DRG066,DRG074,DRG101,DRG149,DRG176,DRG177,DRG189,DRG178,DRG190,DRG191,DRG193,DRG194,DRG192,DRG195,DRG202,DRG203,DRG207,DRG238,DRG252,DRG253,DRG208,DRG254,DRG291,DRG243,DRG244,DRG246,DRG247,DRG249,DRG251,DRG280,DRG292,DRG281,DRG282,DRG286,DRG287,DRG293,DRG300,DRG301,DRG303,DRG305,DRG308,DRG312,DRG309,DRG310,DRG313,DRG314,DRG315,DRG330,DRG377,DRG329,DRG372,DRG378,DRG379,DRG389,DRG390,DRG391,DRG394,DRG439,DRG392,DRG460,DRG473,DRG418,DRG419,DRG469,DRG470,DRG480,DRG481,DRG536,DRG482,DRG552,DRG491,DRG563,DRG602,DRG603,DRG638,DRG640,DRG682,DRG641,DRG683,DRG684,DRG689,DRG690,DRG811,DRG698,DRG699,DRG812,DRG853,DRG885,DRG870,DRG871,DRG872,DRG897,DRG948,DRG917,DRG918}
@attribute providerRegionDescription {RIDALDothan,RIDALBirmingham,RIDALMontgomery,RIDALHuntsville,RIDAZPhoenix,RIDAZMesa,RIDARJonesboro,RIDALTuscaloosa,RIDALMobile,RIDFLClearwater,RIDMABoston,RIDNHManchester,RIDNYAlbany,RIDTXHouston,RIDWIMilwaukee,RIDFLMiami,RIDNDBismarck,RIDTXDallas,RIDFLOrlando,RIDFLPensacola,RIDGAAtlanta,RIDMOSt.Louis,RIDILJoliet,RIDMEBangor,RIDCASantaCruz,RIDCTHartford,RIDFLOcala,RIDCTNewHaven,RIDSCCharleston,RIDNJCamden,RIDNYBronx,RIDPAErie,RIDKSWichita,RIDPAPittsburgh,RIDMEPortland,RIDGAAugusta,RIDGAMacon,RIDILEvanston,RIDILElgin,RIDMDSalisbury,RIDMIAnnArbor,RIDMILansing,RIDKYPaducah,RIDNJMorristown,RIDCANapa,RIDCASacramento,RIDCODenver,RIDCOGreeley,RIDCTBridgeport,RIDFLFortMyers,RIDCAChico,RIDTNMemphis,RIDOHCanton,RIDARSpringdale,RIDCAFresno,RIDCAStockton,RIDCALosAngeles,RIDMNDuluth,RIDCAOrangeCounty,RIDCASanDiego,RIDCASanBernardino,RIDNCRaleigh,RIDWIAppleton,RIDILBloomington,RIDPAAllentown,RIDCARedding,RIDAZTucson,RIDIAIowaCity,RIDMIDearborn,RIDILSpringfield,RIDARLittleRock,RIDCOBoulder,RIDCOFortCollins,RIDPAJohnstown,RIDWIMadison,RIDNEOmaha,RIDOHCleveland,RIDTXElPaso,RIDCASalinas,RIDCABakersfield,RIDDCWashington,RIDFLJacksonville,RIDHIHonolulu,RIDILChicago,RIDINGary,RIDLAShreveport,RIDLAMonroe,RIDCAModesto}
@attribute averageMedicarePayments numeric

@data
DRG243,RIDALBirmingham,12587
DRG243,RIDALMontgomery,16087.9
DRG243,RIDALMontgomery,13869.35
DRG243,RIDALBirmingham,14174.84
DRG243,RIDALBirmingham,16942.66
DRG243,RIDALHuntsville,14504.76
DRG243,RIDALBirmingham,12080.46
DRG243,RIDALBirmingham,12991.78
DRG291,RIDMIAnnArbor,7934.59
DRG291,RIDMILansing,9831.83
DRG244,RIDALDothan,10575
DRG244,RIDALBirmingham,10021.84
DRG244,RIDALBirmingham,9606.13
DRG244,RIDALBirmingham,9672.23
DRG244,RIDALMontgomery,12818.42
DRG244,RIDALMontgomery,10381.72
DRG244,RIDALBirmingham,10324.27
DRG244,RIDALBirmingham,13052.76
DRG244,RIDALHuntsville,10739.25
DRG244,RIDALBirmingham,9083
DRG246,RIDALDothan,17307.68
DRG246,RIDALBirmingham,17340.48
DRG246,RIDALBirmingham,16562.5
DRG246,RIDALBirmingham,14816.21
DRG246,RIDALBirmingham,17201.59
DRG246,RIDALMontgomery,18416.11
DRG246,RIDALBirmingham,17455.2
DRG246,RIDALBirmingham,24397.2
DRG246,RIDALHuntsville,17513.11
DRG246,RIDALBirmingham,14167.68
DRG247,RIDALMobile,9130.43
DRG247,RIDALDothan,9816.35
DRG247,RIDALBirmingham,10698.09
DRG247,RIDALBirmingham,9087.42
DRG247,RIDALBirmingham,9404.89
DRG247,RIDALBirmingham,9624.65
DRG247,RIDALBirmingham,9645.97
DRG247,RIDALMontgomery,12051.2
DRG247,RIDALMontgomery,10287.76
DRG247,RIDALBirmingham,9644.08
DRG249,RIDALDothan,8300.56
DRG249,RIDALBirmingham,7882.25
DRG249,RIDALBirmingham,8149.39
DRG249,RIDALBirmingham,8930.57
DRG249,RIDALMontgomery,10948.9
DRG249,RIDALMontgomery,8523.57
DRG249,RIDALBirmingham,9081.66
DRG249,RIDALBirmingham,11691.4
DRG249,RIDALHuntsville,9182.64
DRG249,RIDALBirmingham,8439.75
DRG252,RIDFLOrlando,17104.66
DRG251,RIDALDothan,9402.47
DRG251,RIDALBirmingham,8640.69
DRG251,RIDALBirmingham,8308.23
DRG251,RIDALMontgomery,10709.76
DRG251,RIDALBirmingham,8909.36
DRG251,RIDALBirmingham,12217.1
DRG251,RIDALHuntsville,9688.23
DRG251,RIDALBirmingham,8135.23
DRG251,RIDALMobile,8362.76
DRG251,RIDALTuscaloosa,9807.66
DRG252,RIDKYPaducah,15798.21
DRG252,RIDNHManchester,24261.54
DRG252,RIDNJMorristown,23598.48
DRG252,RIDALDothan,16209.35
DRG252,RIDALBirmingham,15899.72
DRG252,RIDALBirmingham,14562.07
DRG253,RIDALDothan,12723.79
DRG253,RIDALBirmingham,13342.72
DRG253,RIDALBirmingham,11913.86
DRG253,RIDALHuntsville,11233.92
DRG253,RIDALBirmingham,12458.62
DRG253,RIDALBirmingham,11676.5
DRG253,RIDALMontgomery,14451.58
DRG253,RIDALBirmingham,12937.45
DRG254,RIDALDothan,7756.69
DRG254,RIDALBirmingham,7795.27
DRG254,RIDALBirmingham,7841.84
DRG254,RIDALHuntsville,8264
DRG254,RIDALBirmingham,7583.25
DRG254,RIDALBirmingham,8150.05
DRG254,RIDALMontgomery,9290.96
DRG254,RIDALBirmingham,8196.89
DRG280,RIDALDothan,9199.15
DRG280,RIDALBirmingham,8569.95
DRG280,RIDALBirmingham,8412.16
DRG280,RIDALBirmingham,9394.76
DRG280,RIDALBirmingham,8393.46
DRG280,RIDALMontgomery,11720.09
DRG280,RIDALMontgomery,9297.61
DRG280,RIDALBirmingham,9302.38
DRG280,RIDALBirmingham,9387.02
DRG280,RIDALBirmingham,13439.29
DRG292,RIDCANapa,8805.46
DRG281,RIDALDothan,5731.17
DRG281,RIDALBirmingham,5514.37
DRG281,RIDALBirmingham,5694.47
DRG281,RIDALBirmingham,5624.66
DRG281,RIDALMontgomery,6874.65
DRG281,RIDALMontgomery,5900.07
DRG281,RIDALBirmingham,7448.94
DRG281,RIDALBirmingham,5132.76
DRG281,RIDALHuntsville,6011.51
DRG281,RIDALBirmingham,7196.16
DRG292,RIDCASacramento,7707.39
DRG292,RIDCODenver,5644.16
DRG292,RIDCOGreeley,4788.93
DRG292,RIDCTBridgeport,6693.6
DRG292,RIDCTNewHaven,5932.9
DRG282,RIDALDothan,3370.42
